category,task,confidence,original_review
netcode/desync,optimize server synchronization,0.9,"The game is awesome, the looting, the AI is top tier, fighting the machines is FUN as hell but the Desync issues need to be addressed, because the game is constantly suffering from them and what is the point of looting like hell and preparing, having the best gear, just for some random Desync to screw you over? You can do everything right and still loose because of the game server issues."
weapon/ai balance,Fix gunplay and audio,1.0,I don’t recommend this game as it stands. The gunplay & audio could get patched which would be a vast improvement.
netcode/desync,Optimize server synchronization,0.9,"Unplayable constantly crashes trying to load into raids, no way to remedy and I am using decent PC."
weapon/ai balance,rebalance weapon damage curves,0.9,"Friend bought me this game to try it, was 100% convinced it'll be a 2h refund. Played the tutorial and played 6.6 hours straight (with one poopie brake) Did not expect that (I'm so bad at this game that only kills I got were with lucky anvil shots)"
netcode/desync,optimize server synchronization,0.9,"Great game but having some mic issues with in-game chat! Says im muted, ive done everything emblem and other resources on how to fix it doesn't work. Last time it worked was 11/4/2025 says the desktop settings for the mic. Don't know what else to do. No in game chat unless in the same discord"
other,Improve player reputation system to increase trust among players,0.8,I can and can't trust anyone in the video game
netcode/desync,Optimize server synchronization for virtual machines,0.8,"Warning: Does NOT work in virtual machines(Unraid) as of 2025-11-09. Had to refund. Best to wait until its fixed. Wont even start. Too bad it does´t display the known EAC ""Virtual machine not allowed"" warning so theres a lot of annoying diagnosing. Someone has apparantly gotten it to work with a linux distro(gentoo). Check steam forum."
netcode/desync,optimize server synchronization,0.8,"I've been playing the extraction genre since Vigor released on Xbox, then started playing Hunt: Showdown, then Tarkov, and so on, and ARC Raiders has an extremely unique formula to what was becoming a dull genre. However, there are some issues that need to be addressed."
netcode/desync,optimize server synchronization,0.9,"hope for the best , be ready for the worst"
social experience,Make solo boss completion possible without requiring assistance from other players or make it more appealing for players to assist solos in completing bosses.,0.8,"The game is made for trios, you can’t do bosses as a solo unless players team up, and most players don’t cause they also need the parts the boss drops for their own."
netcode/desync,Optimize server synchronization to reduce desync issues,0.8,The game would be fun if it wasn't for the ganking in PvP and getting nothing. I recommend Helldivers 2 instead.
netcode/desync,optimize server synchronization,1.0,I cant tell you how man vens you owe me for just engaging an ark and catching the worst lag spike right in some line of fire.
performance/fps,Optimize load time between levels,0.9,"I just got this game and I have to say, it is absolutely amazing! The graphics are stunning, the gameplay is incredibly fun, and the sound design is top-notch. However, there's one thing that really bugs me - the loading times between levels can be quite long."
pve/mission loop,Improve gameplay by adding more diverse and engaging activities beyond just gathering loot.,0.8,"Honestly, play literally any other extraction shooter. This game is so shallow from every aspect, lack of interesting quests, gun selection, things to actually do besides gather more loot and just sit on a pile of junk."
netcode/desync,optimize server synchronization,0.9,It is perfect.
other,Implement Duo-only game mode,1.0,Needs a Duo only que to get a thumbs up
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Gear based and squad matchmaking will 100% kill this game, nobody wants to load in with a free kit and only kill other free kits or poor kits. They love the rush of potentially killing a chad and taking their gear. Chads don't want to gear up and fight other chads, which is why they gear up in the first place. To crush poors. Was worth the 40$ got my fill, but the amount of desync and matchmaking aids there is, just go watch your favorite streamer until they address it. Or don't. Game has potential but is quickly losing its edge."
bugs/polish,fix bugs related to getting stuck and shooting enemies,0.8,"The game is fun but there are some bugs. The graphics are great and the controls feel smooth, but sometimes I get stuck in a wall or can't shoot enemies."
netcode/desync,optimize server synchronization,0.8,Really not a fan of pvp. People have been pretty friendly if you communicate with them during the game. The Arc are tough so its really hard to fight them and any random pvper the shows up and doesnt want to help just griefs you. Not sure how to keep the tension that the game brings without the random pvp deaths. I guess we will see were it goes. I really have fun going out but I only go out with free loadouts because I dont want to lose any good gear. Its all so random.
netcode/desync,optimize server synchronization,0.9,shark raiders
netcode/desync,optimize server synchronization,1.0,"Matchmaking breaks every weekend, can't play with friends at all on the weekend it seems. This is my only compaint at the moment, but it's extremely frustrating. Following with attempting to restart the game to fix it, then puts you into a matchmaking queue. Will fix my review once this major issue is fixed."
netcode/desync,optimize server synchronization,1.0,game keeps crashing. will consider changing review when it runs consistently
netcode/desync,optimize server synchronization,0.8,see you topside raider
netcode/desync,Optimize server synchronization to prevent robots from falling on players,0.95,I killed a robot and it fell on me and killed me.
netcode/desync,Optimize server synchronization,0.9,The voice chat just wont work. gone through every setting and im just always muted. uninstalled and reinstalled it and it work for a few games then stopped working. uninstalling this trash.
netcode/desync,optimize server synchronization,0.9,better bring a couple extra bandages.
weapon/ai balance,rebalance weapon damage curves,0.9,Probably the worst extraction shooter ever made.
pve/mission loop,Implement PvE mode,1.0,Make the option for PvE only runs.
pve/mission loop,Fix core gameplay loop,1.0,"This game is dead man walking. Core gameplay loop is fundamentally broken, and will kill the game no matter how well it polished. Main mechanics just not working to make game fun, they all working to make game as boring as possible."
performance/fps,Optimize grenade mechanics,0.8,"Be me, watching my teammate use the computer to extract early, watch enemies throw a grenade to stop us. Grenade downs my teammate, and he falls over onto the doors of the elevator and it closes on him."
netcode/desync,optimize server synchronization,0.9,gfdytrerjyutjytfhgf uj55trytrfrd ctr d cikdefcik7y5tdy7cdcfnvhbgdryteu y5tr eu 65 edtrde trwsrdkytrkytetrdxfg
netcode/desync,optimize server synchronization,0.9,"Sat in a queue/connection menu for half an hour. Got bored, never saw the main menu. Servers seem to be hot dogshit atm."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Just an abundance of ridiculous issues, constant crashes and more errors so you can't even launch the game. It's more work to run this game then play."
netcode/desync,optimize server synchronization,0.95,"Fix the servers, can't even get into the game without a 15 min queue followed by a network error that kicks you out back to square one."
netcode/desync,Optimize server synchronization for better performance and stability,0.8,Fix the horrible crafting/trade UI and I'll fix my review
netcode/desync,optimize server synchronization,0.9,last 3 times ive tried playing this game i have been unable to because the servers are down or full. i bought this game only to be able to not play it.
netcode/desync,optimize server synchronization,0.9,Game crashed and refused to start for 20 min then when I finally get back in I'm dead and lose all my stuff the crashing has happend several times between me and my friends DO NOT BUY THIS game if your not alright with losing all your stuff for no reason.
netcode/desync,optimize server synchronization,0.9,"yes good. some desync and lag issues, but yes good"
netcode/desync,optimize server synchronization,0.9,"BRO. ARC RAIDERS HAS BEEN DOWN FOR 10 MINUTES. My evening is in SHAMBLES. My purpose is GONE. I was ready. Dew was cold. Headset was on. I had told my family I was 'going out.' I was mentally on the surface, fighting for my life. Now? I'm just a guy in a gaming chair, staring at an error message. I've already tried to queue 57 times. I've forgotten what grass looks like. My friends in Discord are just making sad whining noises. We are digitally homeless."
netcode/desync,optimize server synchronization,1.0,Terrible servers and dysnc - game crashes and lose 150k worth of loot at the expense of Embark not expanding their servers properly
weapon/ai balance,Balance squad sizes,0.9,Playing as a duo in Arc Raiders feels like you're signing up to get steamrolled over and over again.
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I've been experiencing a lot of lag lately which makes it hard to play."
netcode/desync,optimize server synchronization,0.95,game is fun but desync issues make pvp frustrating. you get shot through the wall constantly
netcode/desync,optimize server synchronization,1.0,Dysnc
netcode/desync,optimize server synchronization,1.0,"Upgrade the servers, Embark. This is the second time post launch that they've went down due to high player counts. Use the money you got from sales and the overpriced cosmetics to make the game actually work"
netcode/desync,optimize server synchronization,1.0,In queue. Can't play.
weapon/ai balance,Improve game balance and mechanics,0.8,gg no re
other,Separate Duo and Trio Lobbies,1.0,The only thing I have to say is that Duos and Trios Shouldn't be queued in the same lobby.
netcode/desync,optimize server synchronization,1.0,"Its a fantastic game. It runs great. It looks great. The combat is amazing and fun, especially with the ARC units. The ONE big fat problem, is the netcode and desync. It is BEYOND awful. You can fight someone, roll into cover, and you take damage 2 FULL SECONDS LATER. Until they fix this, i cannot recommend this game as I've already lost plenty of items because of the poor netcode."
netcode/desync,optimize server synchronization,0.8,1
netcode/desync,optimize server synchronization for AMD GPUs,0.9,game keeps crashing im using amd gpu. idk what to do
netcode/desync,optimize server synchronization,0.8,"This game is simply rage inducing. Its only fun when you live, and the crafting system is the only way to really progress. Killing people is optional and its fun to team up with random people to take down the arc. But then there's the jerkoffs that get enjoyment of killing you right at the extraction point even though they would get nothing anyway. Or the mildly annoying people that throw grenades at you right when you extract just so you have to repair your gear when you get back to base."
netcode/desync,Optimize server synchronization to prevent desync issues during raids,0.8,"Loaded into solo Blue Gate not expecting anything special. Not too far from spawn, I saw a player being swarmed by three drones summoned by a snitch. I decided to jump in and help take out the clankers for some extra xp."
netcode/desync,optimize server synchronization to reduce lag and desync issues,0.8,Not enjoyable even in the slightest for me. Extraction campers will be the death of this game in its current state. Definitely needs a PVE mode with optional PVP (similar to the Division).
netcode/desync,optimize server synchronization,1.0,Lag lag laggy lag lagerrson lag.. lag laggy lag unplayable lag awful;
performance/fps,Optimize enemy AI behavior,0.8,true work of art. Has one of the kindest communities I have ever seen. PVE is amazing and PVP is fun and engaging. The best way to summaries this game is KILL ALL THE CLANKERS (except Lance. Maybe...)
netcode/desync,Optimize server synchronization and rebalance weapon damage curves,0.9,"I feel that this game is okay, but it has some issues. The optimization of server synchronization would help with desync and lag problems. Additionally, rebalancing weapon damage curves could make the weapons more balanced."
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I've been experiencing some lag lately which makes it hard to play."
netcode/desync,optimize server synchronization,0.9,The worst running game I have ever played. I  have a mid to top end pc and it has crashed over a hundred times. I have tried trouble shooting in so many ways. Wonderful game but completely unplayable at this point for me. This problem is effecting none  of my friends. Super dissapointed
other,Increase the difficulty level by introducing harder enemies or adjusting existing ones. Introduce more varied enemy types with unique abilities to keep gameplay interesting.,0.9,"Arcane Legends is an excellent game with great graphics and engaging storyline. The combat system is well-balanced, and there are plenty of weapons to choose from. However, one thing that could be improved is the difficulty level. It's a bit too easy for beginners, but it can get challenging later on. Another issue is the lack of variety in enemy types. There should be more unique enemies with different abilities to keep things interesting."
netcode/desync,optimize server synchronization,0.95,"I contribute to my raider community by going into a mission and hand picking all the best loot in a map, and when it's time to go I get an Anvil dropped through my b hole by some high level raiders. As I plead for seize fire, they say nothing like they're Arc too. This is a great strategy as it's the most time effective way for these raiders to get the best loot. This is a reoccurring theme as it's happened to me 15+ times. As somebody who works 9-5 and has a real career job. I do not recommend this game. Nobody is friendly."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves,0.95,unbelievable how I have played the last two days now I cant because of some BS with easy anti cheat. FIX IT. I have tried everything for the past 3 hours and still no resolve. I want my $40 back
weapon/ai balance,rebalance weapon damage curves,0.8,GOTY? More like game of the decate if you ask me.
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.8,Shit game. Fix your fucking maps after having so many tests people still get stuck. No unstuck button available ever.
netcode/desync,optimize server synchronization,0.95,Fix ur fucking servers
netcode/desync,optimize server synchronization,0.9,"The game is fun and engaging, but there are some technical issues that make it frustrating. The desync often happens during multiplayer matches, causing players to lose their progress and get killed unexpectedly."
other,Fix clanking sound effect,0.8,clankers
netcode/desync,Optimize server synchronization and rebalance weapon damage curves for fairer multiplayer experience.,0.95,"Don't buy this game until they add a dedicated duos que, there is no logical reason to have a solo que but force duos to face 3 mans. This matchmaking makes it so that playing in a duo just makes you want to play solo so you can win fights without having to have an EXTREME skill or gear gap."
netcode/desync,optimize server synchronization,0.9,Can't even get through the tutorial without it crashing my pc
weapon/ai balance,Add more PvE options to improve the game balance and overall experience.,1.0,its only one PvE option away from being a perfect game ;)
netcode/desync,optimize server synchronization to prevent crashes,0.9,I’m not very good at shooters but was really enjoying this game. Grinded out a decent little loadout for myself… then going into a game steam shuts it down to verify. Come back and load in to me dying THANKS A BUNCH STEAM YOU BELL ENDS! Still an enjoyable game just that one gripe really
netcode/desync,optimize server synchronization,0.8,"As someone who’s spent plenty of time in Tarkov, Warzone, and other looter/extraction shooters, I just don’t get the hype around this game."
netcode/desync,Optimize server synchronization for better anti-cheat detection,0.9,Negative review until you fix your cheat detection that kicks me out in the middle of a match & I come back with 0 items
netcode/desync,optimize server synchronization,0.8,There two things I hate about online games. CPU hogging anticheat system And anticheat system disabling your controller software.
weapon/ai balance,rebalance weapon damage curves,0.8,ARCSH Reibers
pve/mission loop,Improve enemy variety and reduce third-party interactions,0.9,"The game is great for the first ~50 hours, but after that it becomes really repetitive and boring. You can clearly see the inspiration from The Cycle: Frontier, but the developer failed to execute on some of its core mechanics. The lack of variety in enemy types and the constant third-partying make this game exhausting."
weapon/ai balance,rebalance weapon damage curves,0.9,she raider on my topside till i arc
netcode/desync,"Optimize server synchronization, rebalance weapon damage curves, and improve anti-cheat system.",0.8,TTS2 (Beta) Was in a better state than this release version.
performance/fps,optimize weapon balance,0.8,shit game
netcode/desync,optimize server synchronization,0.8,"It's hard to find reasons not to recommend this game. $40 price despite the fact that games of lesser quality charge higher, extremely well optimized despite the fact the game looks beautiful, and low file size (at the time of this review) despite the fact that if this was a game by say, Activision or another big studio, this game would be 80-100gs. Gameplay is amazing, great PVE/PVP experience, and compared to other extraction shooters, it's not as punishing. The ARC are truly some of the most fun mob enemies I've ever fought in gaming, extremely cool and unique."
weapon/ai balance,rebalance weapon damage curves,0.9,"Arch Die is what it should have been called because thats all that will happen no matter how careful you are, i know GET GOOD......F that"
netcode/desync,optimize server synchronization,0.95,crashes at raid start
netcode/desync,"optimize server synchronization, fix bugs",0.95,"The game is fun, but there are some bugs that make it frustrating. The desync and lag can be really annoying."
netcode/desync,optimize server synchronization,0.8,Purchased the game today and see how it could have potential but I cannot recommend this right now. Constant matchmaking errors. Quicker to get into a raid in tarkov. Played 4 matches total. Camped by a group in each match trying to extract.
netcode/desync,Optimize server synchronization for fairer gameplay experience in duo mode.,0.9,"Don't let the bad review make you think I hate the game, because I don't. I plan on playing it for a very long time, however there is a glaring issue i kinda cant ignore. Queuing as a Duo."
pve/mission loop,Implement PvE mode,1.0,"Can't really say much, since I barely played. Since I play solo, I'll gladly come back and play again this great game, when/if there will be an option for PvE only. PvP ruins it for me. Since for the time being, I can't enjoy it, because of PvP only, my review will be negative. I'll gladly change my review if they will introduce PvE only."
netcode/desync,optimize server synchronization,0.9,"There's a chance you'll be one of the people this game hates and experiences constant inexplicable crashes. Till that's fixed, this game gets a solid ligmaballs"
netcode/desync,optimize server synchronization,0.95,"I was gonna write some praise and there is plenty of that, but matchmaking keeps matching our team of 2 versus teams of 3. There is over 300k players online, so there is no excuse for that."
netcode/desync,"Optimize server synchronization, rebalance weapon damage curves",0.8,"Game fucking sucks ass, glitchy as hell guns are way to broken no point in grinding top tier loot when someone with a green shield tanks more then u"
netcode/desync,optimize server synchronization,0.8,overall the game is filled with extraction campers and and the occasional cheater if you get this game expect everyone to camp and gunfights to be you completing a hard objective and people waiting for the very last moment. oh and good luck with the shit net code that cant function and lets people shoot you through walls and floors.
netcode/desync,optimize server synchronization,0.9,Bought the game and haven't even seen the main menu just constant error no matter what
other,Tone down arc mechanics,0.8,Sick game. Chill out on the arcs tho
netcode/desync,optimize server synchronization,0.8,"I really wanted to love Arc Raiders. The original concept — a co-op shooter where you and your team fight back against overwhelming alien forces — was something fresh and exciting. But ever since the focus shifted toward PvP and extraction-style gameplay, the soul of the game has been fading fast."
netcode/desync,optimize server synchronization,0.9,"A warning. The game is very fun, or it was while it was playable. Unfortunately, the game has begun to stutter to literally 0fps during the middle of a raid, occasionally jumping back up to 10fps so I can see my character die. I have contacted Embark support, to no avail; steam support as well. So I caution you to keep your money; I went all in on the deluxe edition, and now have nothing but a broken game and silence to show for it."
netcode/desync,optimize server synchronization,1.0,"Needs a hotfix for the Unreal Engine 5 bug where you crash and lose everything in raid to a ""ACCESS MEMORY VIOLATION"" error which is a cause to overclocked systems despite if they are stable or not interacting with UE5. I dont even want to play the game cause every time i gamble will i crash or will i be fine for 6 hours."
weapon/ai balance,"Improve enemy AI behavior during random encounters, especially for bro-type characters.",0.9,"We need to start clearing the people that randomly shot you first thing they see you, all the bros that came from battlefield and cod are the problem."
weapon/ai balance,rebalance weapon damage curves,0.8,Game not for everyone but it can be fun. Filthy casuals stay away.
netcode/desync,optimize server synchronization,0.95,game crash wont let me start up . ive updated everything and still nothing
netcode/desync,optimize server synchronization,1.0,weird connection issue that makes me unable to play :)
netcode/desync,Optimize server synchronization,0.9,Until they fix the issue with AMD Drivers it's a no.
performance/fps,"optimize ARC enemy balance, improve player interaction mechanics",0.8,I want to enjoy this game but am having trouble. ARC are way OP and kick my ass. The players make the game not enjoyable with the social interactions.
netcode/desync,Optimize server synchronization to reduce desync issues and rebalance weapon damage curves to make the game more fair.,0.8,"This game was very fun at the beginning, now I can't even extract most times because I keep getting killed by campers that just wait by the extract or wait for you to be attacked by the ARC and then they attack you right after. There is no point in upgrading your gear because whoever gets the first shot off wins Turning into toxic rust quickly."
weapon/ai balance,rebalance weapon damage curves,0.8,"shit is ass, gunplay is wack, instant refund"
netcode/desync,optimize server synchronization,0.8,"It is really fun. Hard to pin down why, but even when I get jumped and die it doesn't sting as bad as other games. Time to Kill at least for the first several hours is pretty long so leads to more extended fights."
pve/mission loop,Fix quest item bug,1.0,"If they can fix the quest item bug then it would be a good game. ""In One Round"" quests are ridiculous because there are quest bugs where the quest item doesn't drop or exist."
netcode/desync,optimize server synchronization,1.0,Bad game no aus servers.
netcode/desync,optimize server synchronization,0.9,"The netcode in the game is dead, you will die behind the wall ALWAYS!"
weapon/ai balance,rebalance weapon damage curves,0.8,This game is made for literal subhumans Fire PVE Game tho
stability/crashes,Add skill resets / rebirths to allow players to change their skill trees,1.0,Good game the only think i say they need to change is add skill resets / rebirths because i messed up my skill tree and i want be able to change it I am already max lvl and i cant get the good skills
netcode/desync,Optimize server synchronization to reduce desync issues and improve overall game stability.,0.8,This game is Toxic with Sweaty players. Its more PVP than PVE and you can hardly find a good game that allows perks to working together. Rather you get people that just shoot on sight and no incentive to be a team. Games like this is just a rip off fro Tarkov.
netcode/desync,optimize server synchronization,1.0,"Super fun ""casual extraction shooter"", but not sure if it will survive in the long run. You'll get a solid 50+ hours of enjoyment out of it though, and Embark dev studio has released a roadmap with upcoming content to look out for."
bugs/polish,Fix bugs in the game,0.9,"The game is fun and engaging, but there are some bugs that need fixing. The graphics could also be improved."
netcode/desync,optimize server synchronization,0.9,Literally unplayable. Packet loss and server lag is horrendous i cannot get through even the first raid cant fight even the small robots or go up stairs. Ive spent more time googling how to fix these issues than i have actually playing the thing. Waste of money.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Beware the packet loss, awfully low tickrate and the never ending battle on whether this should've stayed as a PVE game. If it weren't for steams refund policy I'd have refunded since most of my hours were spend trying to make it at the very least playable."
netcode/desync,Optimize server synchronization to reduce desync and lag issues.,0.8,"After 20 hourish of playing, I am done with this game. This is nothing but frustration, there is no reward at all. Everything is a struggle and it is a very stressful game wich is not my conception of gaming. I feel like I am working, and I already have a job."
pve/mission loop,Implement PVE-only mode with increased ARC difficulty,1.0,"Imagine a world where the whole server teams up to destroy ARC, exploring this beautiful game, making friends in the process, swapping and gifting your hard earned swag. What an experience that would be. Not getting shot in the back when your solo playing, when you've been taking on the ARC or looting for 20-30 minutes straight."
netcode/desync,"optimize server synchronization, reduce map size",0.8,"this is my review for now can change with future updates , sound design is garbage you cant tell with precision where players are and to me on an extraction shooter that's a golden rule, desync happening you can be shot and get killed while already on cover, too much IA to deal with together with pvp its just a complete mess, must reduce players per map if you kill a player you cant even loot it cause the whole map is already coming to you"
weapon/ai balance,rebalance weapon damage curves,0.9,"If you want to get head-shot through walls, if you want enemies with the most basic gun to deal two to three times your damage while you’ve got the best gear, and if you enjoy losing all your loot for no reason — this trash game is for you. Total garbage, won't amount to shit."
anti-cheat,fix foliage cheat,1.0,Fix the foliage cheat
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"The feel of the game is incredible. The aesthetic is great, the controls are solid, graphics are gorgeous. Love the sound design. When I first started playing this game, I was really excited to see what it had in store for me. However, as time went on, I began to notice some issues that made my experience less enjoyable."
performance/fps,Optimize inventory management,0.8,I need more space in my inventory.
netcode/desync,"optimize server synchronization, improve player collision detection",0.9,"Fun game. Mechanics are fun, quests and base upgrades don't seem too grindy."
other,Improve cosmetics and unlockable content for players to express themselves better in-game.,0.8,Great game.
netcode/desync,optimize server synchronization,0.9,"This game is only for people with nothing better to do than endlessly farm useless materials. PvP on 3 Hz servers is an absolute joke — laggy, broken, and pointless."
netcode/desync,optimize server synchronization,1.0,Unplayable due to constant crashes.
other,Implement SBMM (Skill based match making) in the game.,1.0,"When it comes to playing as a new player - getting used to the mechanics and crafting better gear, you get demolished pretty quick by the players that have around 100+ hours already in the match. This game should have an SBMM (Skill based match making)."
performance/fps,Optimize PvP mechanics,0.9,"First days were nice, PVP is ruining the experience now."
netcode/desync,"Optimize server synchronization, rebalance weapon damage curves",0.9,NO
pvp experience,Investigate and address player's concerns about Grec DH's camping behavior,1.0,"Grec DH extract camped me 5 games in a row, no clue how he finds me or loads into the same game. needs to be questioned ASAP"
netcode/desync,optimize server synchronization,0.9,"Game is actually super fun and keeps me engaged. But server issues have caused me to disconnect in the middle of matches losing progress at pretty much the worst times. Understandable on the first weekend, but it shouldn't be this frequent at this point."
matchmaking/servers,Balance team sizes or separate queues for different group sizes,0.9,"This game has changed in the last week. It went from community wins and people talking to each other, to being slaughtered in the first few minutes of joining."
netcode/desync,optimize server synchronization,0.8,"Fun game, but currently for me not good enough for a positive review."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves.,0.8,"Don't believe the hype. It's an okay game that is more punishing than it's worth. Arc are way too hard to take down, they spot you from 20 miles away and other players will shoot you in the ass consistently."
netcode/desync,Optimize server synchronization,0.9,"Cant play the game anymore because of ""login failed due to a service interruption"" tried everything so far pls fix"
ui/ux/controls,"Improve inventory management system by adding more sorting and filtering options, as well as the ability to easily sell unwanted items.",0.8,"Having fun so far, but cannot recommend until things are fixed."
netcode/desync,optimize server synchronization,0.8,"My friends showed me this game, and I promptly dived into an extraction filled with enemies and watched both of my friends die to flying robots"
netcode/desync,optimize server synchronization,1.0,buneonvskiujderv
netcode/desync,optimize server synchronization,0.9,Played for 2 hours then the next time i booted it up it crashes everytime i go into a game. if this this gets fixed I would reccomend this game but as of now its very buggy.
netcode/desync,optimize server synchronization,0.9,"The networking is horrible, people shooting through walls and floors and bullets killing you in places you were 5 seconds ago. ""Spam wins"" meta, low skill PvP that doesn't feel engaging and endless grinds for specific parts you can only get through luck."
netcode/desync,optimize server synchronization,0.8,"А можно сделать так что бы пати входили на карту в равном составе. Соло с соло игроками, дуо с дуо, триo с трио. А то я заебался играть в соло против треио, или в дуо против треио. Где берут не тактикой а ресурсом."
other,Add duo queuing feature,1.0,Don't think any game will ever make you feel as tense as this one does. Most hooked me + my friend have been on a multiplayer game in a long time.
other,Add new game modes or locations to keep players engaged,0.8,please do this more :D
netcode/desync,optimize server synchronization,0.9,Great game love extraction shooters so this is right down that ally. With the new patch though I keep losing connection to server must be a new thing that they added.
netcode/desync,optimize server synchronization,0.8,"Only complaint with this game is the Stamina. Takes a while to level up to upgrade the stamina and even with it upgraded, you're walking most of the time. Game is hard enough with the combat, there's no reason running should only last a few seconds especially with the size of the maps. Really hope I'm not alone on this so maybe it will get changed but other than that it's a great game."
matchmaking/servers,separate PvP and PvE servers,1.0,The PvE element really makes it un-fun to play. I've just lost all my stuff several times because a player was just mean and wiped out our squad. There should be at least separate PvP and PvE servers.
weapon/ai balance,Improve game balance and customer service,0.8,Platinum support my ass. Game is dogshit
netcode/desync,optimize server synchronization,0.8,1
netcode/desync,optimize server synchronization,0.9,"dogshit game, too many gamebreaking bugs."
netcode/desync,"rebalance weapon damage curves, optimize server synchronization",0.8,its okay
weapon/ai balance,rebalance weapon damage curves,0.8,"GGGGGGGGGGGGGkkxrfjtyhjzeeeebwn3AY ""i kill friendly"" erggggggvatggWV"
netcode/desync,optimize server synchronization,0.95,love the game fix desync please
netcode/desync,optimize server synchronization,0.95,"The game is great. Fun gameplay, great depth to pvp interactions, and I particularly appreciate the graphic and sound design that went into it."
netcode/desync,optimize server synchronization,0.9,Don't buy until next update. This game is crashing every time I try to launch. First 2-3 worked fine but after that I am not able to play.
netcode/desync,optimize server synchronization,0.9,crashes my pc every other match.
netcode/desync,optimize server synchronization,0.95,"Everything about this game from a conceptual and gameplay standpoint is fantastic. The environments are well crafted. The AI is challenging but fair. The guns all have their own personalities and uses. However, I can't in good conscience recommend this game until they fix the blatant desync issues."
netcode/desync,optimize server synchronization,1.0,"too much dsync, will change review when fixed"
pve/mission loop,Implement proper PvE content,1.0,"refunded due to no real PvE. i'd give it another go, w/ properly implemented PvE"
weapon/ai balance,rebalance weapon damage curves,1.0,Definitely watch some gameplays before you buy the game. I found out too late that i don't enjoy spending 20 min looting just to lose everything because someone shoot me in the back
pve/mission loop,Add tabs for loot separation and organization,1.0,Great game lots of fun. Please add tabs to separate and organise loot
netcode/desync,Optimize server synchronization,1.0,"I've been disconnected from the game servers repeatedly mid-game. I'm losing two minutes worth of time in raid every time, and it sometimes gets me killed."
performance/fps,optimize weapon balance and movement speed,0.8,fire
netcode/desync,optimize server synchronization,0.9,not a fan at all. Game crashes and says theres corrupted files. i was able to restart the game and when i reconnected i was shot as soon as i did.
pve/mission loop,Improve difficulty scaling and add more varied objectives to keep players engaged,0.9,"At least for me it's not fun. Everyone that I encountered killed me. It's not fun to lose everythink, including your weapons, ammo, and everythink else. Just not for me."
netcode/desync,optimize server synchronization,0.9,fucking clankers
other,Upgrade video driver,1.0,Game says i need down grade my video driver.<br><br>fuck you game.<br><br>game crashed multipe times<br>downgrade drivers <br>game no more crash run smooth af
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"I had a great time playing this game, but I noticed some lag and desync issues. The weapons feel unbalanced and overpowered."
other,fix hitbox when walking near player,0.9,One of the best games i've played in a long time fs. Hope to see updates more often!!! (fix the hitbox when walking near a player please)
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"I had a great time playing this game, but I noticed some lag and desync issues. The weapons feel unbalanced and overpowered."
social experience,Group players of the same size together,0.95,The gameplay itself is fantastic. The only gripe i have is having different groups sizes in lobbies together. Please group trios with trios and duos with duos. There is no bigger vibe kill then when you get into great fights and they just have an edge with an extra person. Otherwise there is literally nothing negative to say about this game. Only reason for a negative review. If this gets changed the game is absolute perfection.
netcode/desync,optimize server synchronization,1.0,"What a game! First review in over 20 years on Steam I've felt compelled to write about. It was a choice between this and BF6, so glad I made this choice (even having been a BF fan since BF2)!

I played Division 2 extraction mode a lot and this is very similar but it's really refreshing that not everyone wants to kill you and take your stuff (mostly). The in game team ups have been really unexpected on top of what is already a great PVP/PVE shooter.

When you go to the surface to scavenge, you're always alert to what is happening for the whole duration. The task is optimize server synchronization."
netcode/desync,optimize server synchronization,0.9,"duo team completely unfair. All the time 2on3 fights. How can the developer think this is a fair condition? If this would be fixed, I would recommend the game"
netcode/desync,optimize server synchronization,0.8,"From what the reviews say it sounds like a pve first, pvp second extraction shooter, but i went for 15 raids and 14 out of those 15 i just got shot to death on sight. Its like every other extraction shooter"
netcode/desync,optimize server synchronization,0.9,no fun at all...crashes 2 times in one hour....all drivers up to date
netcode/desync,optimize server synchronization,1.0,TLDR; This Game has a Camping Problem and Toxic Players from Other Games are Starting to Spill in.
matchmaking/servers,Fix duo queue,1.0,The game is amazing. BUT you cant play as 2 players since you always get queued with squads of 3. Fix a duo queue... tired of this shit of always running into to 3 mans.
netcode/desync,optimize server synchronization,0.8,1
netcode/desync,Optimize server synchronization,0.95,The game is good but the lag and desync is bad
netcode/desync,optimize server synchronization,0.8,good game but i cant run it:
netcode/desync,optimize server synchronization,0.9,"While the game is great and community is helpful, I've experienced too many crash outs, and the one when I was waiting for the elevator with well deserved loot was the final straw for me. It's definitely too buggy at critical points."
